example_id,source_split,question_type,project_domain,profile_id_or_name,answer,old_technical_depth,old_personal_contribution,old_clarity,old_problem_solving,old_impact,old_role_relevance,new_technical_depth,new_personal_contribution,new_clarity,new_problem_solving,new_impact,new_role_relevance,review_status,label_action,corrected_fields,exclusion_reason,review_notes
official_high_impact_patch_impact_000017,dev_review_candidates,technical_challenge,backend API,deployed_feature_with_usage,"In a course project, I worked on a backend API built with Python, FastAPI, and SQLite for a small task-tracking app. One technical problem I solved was how to handle duplicate task submissions and keep the data consistent when the same request was sent more than once.

At first, the API would sometimes create two identical records if the frontend retried a request or if I manually tested the endpoint twice in a row. Since this was a SQLite-backed project, I wanted a simple and reliable fix without adding unnecessary complexity. My task was to design the create-task flow so it would be safe and predictable.

I added a unique constraint on the task title within the same project and updated the FastAPI endpoint to check for an existing task before inserting a new one. I also made the response clearer by returning a 409 Conflict when a duplicate was detected instead of silently creating another row. On top of that, I wrote a few tests for the create endpoint to cover normal inserts, duplicate requests, and error handling.

The result was that the duplicate-task issue went from happening regularly during testing to zero duplicate records in the final demo. Before the fix, I had to manually clean up about 3 to 5 bad entries during each round of testing. After the fix, the API passed the full QA checklist for task creation, and the demo ran without any data cleanup at the end.",4,4,5,4,4,5,4,4,5,4,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_strong_patch_clarity_000119,dev_review_candidates,deployment_story,DevOps/deployment task,official_strong_clarity_163,"In a course portfolio project, I owned the deployment and environment setup for a small Python REST API that used SQL for persistence and had automated tests. The main challenge was debugging why the app worked locally for me but failed in the shared environment and during deployment.

I started by standardizing the setup with a `requirements.txt`, a `.env` file for local configuration, and a clear project structure so the API, database layer, and tests were separated. I then set up the app to read configuration from environment variables instead of hardcoding values, which made it easier to run locally, in tests, and in deployment. For the database, I used SQL scripts to create the schema and seed test data, and I made sure the API could connect through a single config path so there wasn’t one setup for development and another for deployment.

The biggest issue I debugged was a mismatch between the local SQLite setup and the deployment environment. The API was passing tests locally, but in deployment it was failing on startup because a table name and one SQL query didn’t match exactly, and the test database had been masking it. I traced it by checking the logs, reproducing the failure with the same environment variables, and then running the failing endpoint against a clean database. After that, I fixed the SQL query, added a startup check for missing tables, and updated the tests so they used a fresh database fixture instead of relying on leftover state.

I also added a simple deployment checklist and a smoke test that hit the main REST endpoints after startup. That caught one more issue where the server was binding to the wrong host in the container. Once I changed the startup command and verified the port mapping, the app deployed cleanly.

The result was that I got the project from a flaky local-only setup to a repeatable deployment flow. After the fixes, all tests passed consistently, the API deployed successfully, and I could bring up the full stack from scratch in a few minutes instead of manually troubleshooting each time.",5,5,5,5,4,5,5,5,5,5,3,5,project_team_approved_with_corrections,corrected,impact,,"Impact was corrected from 4 to 3 because the answer shows a successful deployment/debugging outcome, but not enough measurable project, user, or team value to support a high-impact score."
official_strong_patch_technical_depth_000032,dev_review_candidates,failure_or_learning,NLP course project,official_strong_technical_depth_76,"In my NLP course project, I built a small text-processing service in Python with a REST API and a SQL database to store documents, predictions, and test cases. I owned the API design and the integration between the NLP pipeline and the database.

At first, I designed the endpoint to accept raw text and immediately run the full pipeline: tokenization, cleaning, feature extraction, and classification. It worked on a few manual examples, but when I started running the test suite, I saw inconsistent results and some requests were timing out. The main issue was that I had mixed preprocessing logic inside the API layer, so the same text could be handled slightly differently depending on the request path and database state.

I fixed it by separating the project into three layers: the REST endpoint only validated input and returned JSON, the NLP processing lived in a dedicated Python service function, and the SQL layer only handled persistence. I also added unit tests for each preprocessing step and integration tests for the API using fixed sample inputs. That helped me catch a bug where punctuation stripping was removing apostrophes in contractions, which changed the model output.

After the refactor, the tests became stable, and the API response time dropped from about 1.2 seconds to under 400 ms for the sample dataset. More importantly, I learned that in small projects it is easy to let implementation details leak across layers, but clear separation of concerns makes debugging much easier and the code much more testable.",5,5,5,5,4,5,5,5,5,5,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000013,dev_review_candidates,data_pipeline_story,data pipeline,accuracy_or_quality_improvement,"In my course portfolio project, I built a small Python data pipeline for a machine learning model, and my main task was to move data cleanly from raw CSV files into training, validation, and test sets. The project was a simple classification problem, and the design decision I was responsible for was how to split and validate the data so we could trust the model results.

I started by loading the raw dataset with pandas, then I cleaned it by removing duplicate rows, handling missing values, and standardizing a few columns before any splitting happened. I was careful to do the split after cleaning but before any model fitting, because I wanted to avoid data leakage. I used scikit-learn’s `train_test_split` twice: first to separate out a holdout test set, and then to split the remaining data into training and validation sets. I kept the split reproducible with a fixed random seed, and I used stratification so the class balance stayed similar across all three sets.

My specific responsibility was making sure the data moved through each step in the right format for the next stage. For example, I built a preprocessing pipeline that fit the scaler only on the training set, then applied the same transformation to the validation and test sets. That way, the validation metrics were realistic and not inflated by information from the full dataset. I also added a few checks to confirm the row counts and label distribution after each split, so I could catch mistakes early.

The measurable result was that I reduced the manual data-prep step from about 20 minutes of repeated notebook work to a script that ran in under 2 minutes end to end. It also eliminated a couple of split-related errors I had seen earlier, like inconsistent label proportions between sets. By the final demo, I had a repeatable pipeline that produced the same train/validation/test outputs every time, and the model evaluation was based on a proper validation set rather than ad hoc testing.",4,4,5,4,4,5,4,4,5,4,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000034,dev_review_candidates,data_pipeline_story,data pipeline,accuracy_or_quality_improvement,"In my course portfolio project, I built a small Python data pipeline for a machine learning model that predicted whether a customer would churn. My part was specifically the data-processing step between raw CSV input and model training, so I handled cleaning, feature preparation, and splitting the data into training, validation, and test sets.

The raw data came from a few CSV files with inconsistent formats, missing values, and some duplicate records. I wrote a Python script using pandas to load the files, standardize column names, remove duplicates, and fill or drop missing values depending on the field. For example, I imputed numeric columns with the median and dropped rows where the target label was missing, because I didn’t want to introduce noise into the model. I also encoded categorical features and scaled the numeric ones so the scikit-learn model would receive consistent input.

A key design decision I made was to create a separate validation set instead of tuning directly on the test set. I used scikit-learn’s train_test_split twice: first to split off a test set, and then to split the remaining data into training and validation sets. That let me compare different models and hyperparameters without leaking information from the test set. I also wrapped the preprocessing steps in a scikit-learn Pipeline so the exact same transformations were applied during training and evaluation, which reduced the chance of mismatched data handling.

My specific task was to make the pipeline reproducible and easy to run end to end. I added fixed random seeds, saved the processed datasets to disk, and documented the order of each step so someone else could rerun it without manually redoing the cleaning. Before that, the project required a lot of manual CSV cleanup each time we changed the data. After I finished the pipeline, the full preprocessing and split process went from about 20 minutes of manual work to under 2 minutes with one script, and it consistently produced the same train/validation/test sets for model comparison.

The final result was that I could train and evaluate the scikit-learn model on a clean, repeatable dataset, and the validation set gave us a reliable way to choose the best model before the final test run.",4,4,5,4,4,5,4,4,5,4,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_strong_patch_personal_contribution_000067,dev_review_candidates,deployment_story,DevOps/deployment task,official_strong_personal_contribution_111,"In a course portfolio project, I owned the deployment and environment setup for a small Python REST API that used SQL for persistence and had automated tests. The main challenge was that the app worked on my laptop, but it kept failing in the shared environment because of differences in Python versions, missing dependencies, and database configuration.

I started by standardizing the setup with a `requirements.txt`, a `.env` file for local configuration, and a clear setup guide. I then debugged the API startup issues by checking logs and reproducing the failures in a clean virtual environment. That helped me find a few problems: one dependency version was incompatible with the test runner, the database connection string was being read differently in local versus CI, and one endpoint was failing because the SQL schema hadn’t been initialized before the app started.

To fix it, I separated configuration from code, added environment-based settings for development and test, and made the database initialization explicit in the startup flow. I also wrote and updated tests for the API routes and database interactions so I could verify the deployment changes didn’t break behavior. After that, I ran the full test suite locally and in the deployment pipeline to confirm the app started cleanly and the endpoints returned the expected responses.

As a result, I got the project to deploy consistently in the course environment, reduced setup time for the team, and brought the API test pass rate to 100% before submission.",4,5,5,5,4,5,4,5,5,5,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000050,dev_review_candidates,technical_challenge,backend API,qa_or_error_reduction_fix,"In a course project, I worked on a Python backend API for a small task-tracking app, and I personally owned the debugging of an issue where one endpoint was returning inconsistent results in the test environment. The problem showed up in our `GET /tasks` endpoint: sometimes the response included duplicate tasks, and other times the ordering changed between runs, which was breaking our pytest suite.

I started by reproducing the failure locally with pytest and then added more specific logging around the database query and response-building code. The logs showed that the API was fetching the same records correctly, but the duplication was happening when I was converting the query results into response objects. I found that I was accidentally appending the same list twice: once from the raw query result and again after applying a transformation function. On top of that, the query itself had no explicit `ORDER BY`, so the output order was not stable, which explained the flaky tests.

I fixed it by removing the extra append, adding a deduplication step based on task ID, and updating the SQL query to sort by `created_at` and then `id` so the response would always be deterministic. After that, I rewrote the pytest cases to check both the exact payload and the ordering. I also kept the debug logs in place for that code path so future failures would be easier to trace.

The result was that the failing test went from being flaky to passing consistently, and our backend test suite became stable again. Specifically, I reduced the endpoint-related test failures from about 3 out of 10 runs to 0 out of 20 runs in my local verification, and the final demo for the project passed without manual reruns.",5,5,5,5,4,5,5,5,5,5,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_strong_patch_role_relevance_000260,dev_review_candidates,failure_or_learning,NLP course project,official_strong_role_relevance_304,"In my NLP course project, I built a small text-analysis service in Python with a REST API and a SQL database to store processed results. I personally owned the part where we had to decide how to structure the API and the data flow, and that’s where something didn’t work at first.

My first design was to have the API call the NLP processing directly inside the request handler and then write the result to SQL in the same function. It worked for very small inputs, but once I started testing with longer texts and repeated requests, the endpoint became slow and sometimes timed out. I also noticed that some requests were failing when the same text was submitted twice, because I was not handling duplicate records cleanly in the database.

I debugged it by adding tests around the API layer and checking the SQL queries separately. That showed me the problem was not the NLP logic itself, but the way I had coupled everything together. I changed the design so the request handler only validated input and returned a job-style response, while the processing and database write were split into smaller functions. I also added a unique constraint on the text hash in SQL and handled the conflict case explicitly, so duplicate submissions would return the existing result instead of creating a second row.

After that refactor, the endpoint response time dropped from several seconds to under one second for the API call itself, and the full test suite passed consistently. The main thing I learned was that even in a small project, separating concerns early makes the system easier to test, easier to debug, and much more reliable.",5,5,5,5,4,5,5,5,5,5,3,5,project_team_approved_with_corrections,corrected,impact,,"Impact was corrected from 4 to 3 because the answer gives useful course-project improvements, but broader project value or real-user delivery is limited."
official_strong_patch_technical_depth_000038,dev_review_candidates,teamwork_conflict,machine learning project,official_strong_technical_depth_82,"In a course project, I worked on a small machine learning system with two other students that predicted whether a customer support ticket should be escalated. The team split the work into data preparation, model training, and the API layer, and I personally owned the backend service and the database integration.

My main contribution was designing and implementing the Python REST API that exposed the prediction endpoint. I used FastAPI because it was lightweight and easy to validate request payloads with Pydantic. I defined a `/predict` endpoint that accepted ticket text and a few structured fields, then called the trained model and returned both the prediction and confidence score. I also set up the SQL schema for storing incoming requests and prediction results, using PostgreSQL with SQLAlchemy. That let us keep a record of inputs, outputs, and timestamps for later analysis.

One design decision I made was to separate the model-loading logic from the request handler so the model would only be loaded once at startup instead of on every request. That improved response time a lot and avoided repeated initialization during testing. I also added input validation for missing fields and unexpected values, because early on we were getting failures when the frontend sent empty strings or inconsistent priority labels.

I wrote unit tests for the API routes and integration tests for the database writes. For example, I tested that a valid request returned a 200 response with the expected JSON shape, and that invalid payloads returned a 422 error. I also used pytest fixtures with a temporary test database so we could verify inserts without affecting the main data. During debugging, I found one issue where the model was receiving raw SQL NULL values instead of empty strings, which caused inconsistent preprocessing. I fixed that by normalizing inputs in one place before prediction.

By the end, we had a working end-to-end demo where a ticket could be submitted, stored in SQL, classified by the model, and returned through the API in under a second locally. Our final evaluation showed about 84% accuracy on the test set, and the API passed all of the automated tests we wrote.",5,5,5,5,4,5,5,5,5,5,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_strong_patch_role_relevance_000240,dev_review_candidates,teamwork_conflict,machine learning project,official_strong_role_relevance_284,"In a course project, I worked on a small machine learning system for predicting whether a customer request should be escalated. The team handled the overall product together, but I personally owned the backend prediction service and the data flow between the API, the database, and the model.

My main contribution was designing and implementing the Python REST API that exposed the model predictions. I built the `/predict` endpoint with FastAPI, validated incoming JSON payloads, and made sure the request format matched the feature set the model expected. I also wrote the SQL queries to pull training and test data from the database, and I helped define the schema so the feature columns were consistent across training and inference. One design decision I made was to keep preprocessing in a shared Python module instead of duplicating logic in the API and training script. That reduced mismatches, and it made debugging much easier when we found a case where one-hot encoding was behaving differently between training and prediction.

I also wrote most of the tests for the service. I added unit tests for input validation and feature transformation, plus integration tests that hit the API with sample payloads and checked the returned prediction and confidence score. During testing, I found an issue where missing values were causing the model to fail on certain requests, so I added explicit null handling and default values before inference. I verified the fix by rerunning the test suite and comparing predictions against a known set of examples.

By the end of the project, we had a working end-to-end prototype that could take a request, query the database, run it through the model, and return a prediction through the API. The final version passed all of our automated tests, and we were able to demonstrate consistent predictions on the full test set with about 87% accuracy.",5,5,5,4,4,5,5,5,5,4,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_strong_patch_technical_depth_000002,dev_review_candidates,testing_story,testing framework,official_strong_technical_depth_46,"In my course portfolio project, I built a small testing framework in Python for a REST API backed by SQL, and testing changed the feature design pretty early.

I originally planned to make the API tests fully independent by creating and deleting test data through the UI layer, but once I started writing integration tests, I realized that approach was slow and flaky. A few tests were failing because of timing issues and because the database state wasn’t consistent between runs. So I changed the design to use direct SQL setup and teardown for test fixtures, while keeping the actual feature under test at the API level.

I personally owned that change. I added a test utility layer in Python that opened a database connection, inserted known records before each test, and cleaned them up after each run. For the API side, I used REST calls to verify status codes, response bodies, and side effects in the database. I also added assertions for edge cases like duplicate IDs, missing required fields, and invalid foreign keys.

That testing work changed the feature implementation too. I had originally written the endpoint to return a generic 500 error for some bad inputs, but the tests showed that was hiding validation problems. I refactored the endpoint to validate request payloads earlier and return specific 400-level responses with clear error messages. I also adjusted the SQL queries to use parameterized statements after one test exposed a failure with special characters in input.

The result was that the test suite became much more reliable. I got the flaky failures down to zero in repeated local runs, and the full suite went from around 12 minutes to about 4 minutes after removing the UI dependency. It also gave me a cleaner API design, because the tests forced me to make the validation and database behavior explicit instead of relying on assumptions.",5,5,5,5,4,5,5,5,5,5,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_strong_patch_clarity_000122,dev_review_candidates,testing_story,testing framework,official_strong_clarity_166,"In my course project, I built a small testing framework in Python for a REST API-backed application, and testing changed the feature design pretty early. I originally planned to have the API tests call the endpoints directly and assert on the response status codes, but once I started writing the tests, I realized that approach would make the suite too brittle and hard to debug.

I owned the test layer end to end, so I first wrote a few basic integration tests around the main flows: creating a record, reading it back, updating it, and deleting it. I used Python `requests` for the API calls and SQL queries to verify the database state after each request. That exposed a problem: some endpoints were returning `200 OK`, but the database values were not always updated correctly, especially when optional fields were omitted. The tests caught that the API response alone wasn’t enough to prove the feature worked.

Because of that, I changed the implementation approach. Instead of only checking the HTTP response, I redesigned the feature so each test had a clear arrange-act-assert structure with both API and database verification. I also added helper methods for common setup and teardown, and I made the test data deterministic so I could reliably compare expected SQL results. For example, after a `POST`, I queried the table by the returned ID and asserted the exact column values, not just that the request succeeded.

That led me to fix a couple of issues in the feature itself, including a bug where one field was being written as `NULL` when the request payload used a default value. After I updated the logic and reran the suite, all core tests passed consistently. In the end, I had a framework with around 20 automated tests covering the main CRUD paths, and it reduced manual verification time from about 15 minutes per run to under 2 minutes.",5,5,4,5,4,5,5,5,4,5,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000032,dev_review_candidates,technical_challenge,backend API,measurable_performance_improvement,"In a course project, I worked on a Python backend API for a small course catalog app, and I ran into a performance problem when we started testing the search endpoint. The API was fine with a small dataset, but once we loaded a few thousand records, the response time for filtered searches jumped from around 200 ms to more than 2 seconds.

I owned the backend side of that issue. I used Python profiling tools, mainly `cProfile` and some timing logs around the request handler, to figure out where the time was going. At first I thought the bottleneck was the API framework itself, but the profile showed most of the time was actually spent in repeated SQL queries and in Python-side filtering after the data came back.

The specific problem was that the endpoint was doing an initial query for courses and then, inside a loop, making extra queries for related instructor and category data. That created an N+1 query pattern. On top of that, I had written some filtering logic in Python instead of pushing it into SQL, so the API was pulling back more rows than it needed.

I fixed it by rewriting the endpoint to use a single optimized SQL query with joins and indexed filter columns. I also moved the filtering into the database layer and only selected the fields the response actually needed. After that, I re-ran the profiler and load-tested the endpoint again.

The result was that the average search response time dropped from about 2.1 seconds to around 180 ms on the same dataset, and the number of SQL queries per request went from 12–15 down to 1 or 2 depending on the route. That made the final demo much smoother, and it also gave me a good lesson in how to use profiling to find the real bottleneck instead of guessing.",5,5,5,5,5,5,5,5,5,5,5,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
